index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,a_p
1,waymo_train,waymo_0-299,32111,1272;ego,ego,"range(0, 33)",0.89,2.12,0.5,33,0.860847060671928
2,waymo_train,waymo_0-299,3671,794;ego,ego,"range(18, 58)",0.89,2.12,0.5,40,0.9914121899983682
3,waymo_train,waymo_0-299,46973,203;ego,ego,"range(8, 56)",0.89,2.12,0.5,48,0.6093745774471867
4,waymo_train,waymo_0-299,51490,2018;ego,ego,"range(25, 77)",0.89,2.12,0.5,52,0.9985098436041595
5,waymo_train,waymo_0-299,5567,2184;ego,ego,"range(15, 81)",0.89,2.12,0.5,66,0.9939664047870802
6,waymo_train,waymo_0-299,79408,1998;ego,ego,"range(16, 55)",0.89,2.12,0.5,39,0.9602723695170684
7,waymo_train,waymo_0-299,95569,2248;ego,ego,"range(27, 79)",0.89,2.12,0.5,52,0.9992660498611892
8,waymo_train,waymo_0-299,102587,924;ego,ego,"range(13, 74)",0.89,2.12,0.5,61,0.8227014097028827
9,waymo_train,waymo_0-299,123876,2865;ego,ego,"range(28, 67)",0.89,2.12,0.5,39,0.7817421410924047
10,waymo_train,waymo_0-299,134006,2657;ego,ego,"range(26, 90)",0.89,2.12,0.5,64,0.9998675658165096
11,waymo_train,waymo_0-299,14720,899;ego,ego,"range(6, 63)",0.89,2.12,0.5,57,0.9853014493152223
12,waymo_train,waymo_0-299,15227,1844;ego,ego,"range(9, 75)",0.89,2.12,0.5,66,0.9663015016061417
13,waymo_train,waymo_0-299,16714,526;ego,ego,"range(4, 71)",0.89,2.12,0.5,67,0.9898904404239611
14,waymo_train,waymo_0-299,19079,165;ego,ego,"range(22, 70)",0.89,2.12,0.5,48,0.9475721273223051
15,waymo_train,waymo_0-299,20296,950;ego,ego,"range(0, 29)",0.89,2.12,0.5,29,0.9998549982997862
16,waymo_train,waymo_0-299,20708,5;ego,ego,"range(0, 53)",0.89,2.12,0.5,53,0.909318670422623
17,waymo_train,waymo_0-299,20895,1936;ego,ego,"range(2, 55)",0.89,2.12,0.5,53,1.0
18,waymo_train,waymo_0-299,24389,1952;ego,ego,"range(16, 62)",0.89,2.12,0.5,46,0.8424030231755171
19,waymo_train,waymo_0-299,25708,1887;ego,ego,"range(23, 75)",0.89,2.12,0.5,52,0.9870829139722223
