index,start_time,type,ego,total_background_vehicles,n_background_vehicles,impact
1,4.0,AV_1,ego,75,5,0.9385201456826003
2,0.0,AV_1,ego,61,61,1.0
3,5.0,AV_1,ego,68,6,0.7338443757458677
4,17.0,AV_1,ego,8,8,0.9953695853733437
5,26.0,AV_1,ego,44,4,0.992916358142936
6,0.0,AV_1,ego,56,56,1.0
7,16.0,AV_1,ego,119,22,0.9020539969848467
8,13.0,AV_1,ego,72,8,0.9082238938814082
9,0.0,AV_1,ego,88,88,1.0
10,30.0,AV_1,ego,65,9,0.9195664224482935
11,32.0,AV_1,ego,106,16,0.9642518711842423
12,26.0,AV_1,ego,43,3,0.9981244267516163
13,29.0,AV_1,ego,43,2,0.9864970048460561
14,2.0,AV_1,ego,228,0,1.0
15,0.0,AV_1,ego,112,112,1.0
16,27.0,AV_1,ego,19,6,0.8720604070612585
17,17.0,AV_1,ego,97,10,0.9455510988950823
18,0.0,AV_1,ego,70,70,1.0
19,15.0,AV_1,ego,30,7,0.9622017973232797
20,0.0,AV_1,ego,127,127,1.0
21,13.0,AV_1,ego,79,11,0.9827049746924879
22,16.0,AV_1,ego,44,7,0.9270548936914422
23,10.0,AV_1,ego,42,2,0.7359416798652296
24,7.0,AV_1,ego,22,8,0.9156579757407255
25,9.0,AV_1,ego,8,4,0.756379185075932
26,0.0,AV_1,ego,72,72,1.0
27,8.0,AV_1,ego,121,3,0.7850773052863078
28,8.0,AV_1,ego,36,11,0.9851495941514247
29,13.0,AV_1,ego,8,1,1.0
30,14.0,AV_1,ego,51,23,0.9448532904553022
31,0.0,AV_1,ego,32,32,1.0
32,11.0,AV_1,ego,25,15,0.8771525565255371
33,12.0,AV_1,ego,47,5,0.8984570980763912
34,28.0,AV_1,ego,53,8,0.8210270619775641
35,30.0,AV_1,ego,9,3,0.8317784496209226
36,12.0,AV_1,ego,107,19,0.9727737834274347
37,0.0,AV_1,ego,85,85,1.0
38,31.0,AV_1,ego,124,17,0.9367487699558222
39,21.0,AV_1,ego,53,9,0.9101060918356092
40,28.0,AV_1,ego,53,8,0.900815270720047
41,39.0,AV_1,ego,80,12,0.9649678197701005
42,14.0,AV_1,ego,36,6,0.976712823205111
43,7.0,AV_1,ego,99,25,0.9264079366466302
44,27.0,AV_1,ego,49,5,0.9071066532424024
45,24.0,AV_1,ego,29,10,0.9901986153002609
46,11.0,AV_1,ego,20,12,0.9882382989049456
47,6.0,AV_1,ego,15,10,1.0
48,4.0,AV_1,ego,10,8,0.961440301384051
49,0.0,AV_1,ego,17,17,1.0
50,0.0,AV_1,ego,42,42,1.0
51,12.0,AV_1,ego,112,14,0.9576042169069393
52,6.0,AV_1,ego,76,2,0.6233662443442431
53,22.0,AV_1,ego,15,5,0.9709444434536795
54,27.0,AV_1,ego,26,8,0.9824871273516191
55,0.0,AV_1,ego,20,20,1.0
56,23.0,AV_1,ego,9,2,0.9904413482461537
57,0.0,AV_1,ego,12,12,1.0
58,12.0,AV_1,ego,88,15,0.832956078372027
59,0.0,AV_1,ego,10,10,1.0
60,13.0,AV_1,ego,32,5,0.9029480218866605
61,36.0,AV_1,ego,84,18,0.9392755844468659
62,11.0,AV_1,ego,104,10,0.958222030257734
63,13.0,AV_1,ego,28,10,0.8238646250205269
64,0.0,AV_1,ego,95,95,1.0
65,0.0,AV_1,ego,40,40,1.0
66,16.0,AV_1,ego,67,10,0.973196525748541
67,3.0,AV_1,ego,78,12,0.8518167295703548
68,17.0,AV_1,ego,72,26,0.8226418727288334
69,25.0,AV_1,ego,23,11,0.9962090556815276
70,18.0,AV_1,ego,17,5,0.9805250252915625
71,0.0,AV_1,ego,69,69,1.0
72,11.0,AV_1,ego,18,1,0.7109218203994097
73,0.0,AV_1,ego,67,67,1.0
74,16.0,AV_1,ego,19,4,0.9637661099020128
75,0.0,AV_1,ego,6,6,1.0
76,0.0,AV_1,ego,29,29,1.0
77,35.0,AV_1,ego,9,3,0.9871023092692319
78,0.0,AV_1,ego,45,45,1.0
79,0.0,AV_1,ego,44,44,1.0
80,26.0,AV_1,ego,65,9,0.9795649905016811
81,0.0,AV_1,ego,21,21,1.0
82,25.0,AV_1,ego,12,6,0.9844898019299633
83,14.0,AV_1,ego,35,2,0.9477514500788066
84,0.0,AV_1,ego,32,32,1.0
85,10.0,AV_1,ego,39,11,0.9900220115136306
86,11.0,AV_1,ego,132,19,0.9345160837856576
87,11.0,AV_1,ego,4,1,0.5675122152012371
88,13.0,AV_1,ego,6,3,0.9969953346804771
89,0.0,AV_1,ego,34,34,1.0
90,19.0,AV_1,ego,34,7,0.9985628041576238
91,15.0,AV_1,ego,45,22,0.9517813389088994
92,0.0,AV_1,ego,9,9,1.0
93,29.0,AV_1,ego,18,5,0.9996722434018261
94,0.0,AV_1,ego,24,24,1.0
95,5.0,AV_1,ego,97,17,0.964756661474694
96,24.0,AV_1,ego,57,13,0.9965031863150673
97,17.0,AV_1,ego,9,7,0.9815935646709912
98,19.0,AV_1,ego,15,4,0.9954728181040815
99,27.0,AV_1,ego,10,4,0.9632721269189678
100,6.0,AV_1,ego,69,4,0.9859537583896331
101,20.0,AV_1,ego,35,9,0.9329303360147849
102,6.0,AV_1,ego,74,17,0.964901658593948
103,11.0,AV_1,ego,108,12,0.9916510742053728
104,0.0,AV_1,ego,100,100,1.0
105,9.0,AV_1,ego,186,12,0.9506159108270829
106,26.0,AV_1,ego,23,10,0.9961539948906867
107,0.0,AV_1,ego,17,17,1.0
108,29.0,AV_1,ego,7,3,0.863241155279699
109,12.0,AV_1,ego,11,2,0.779039864764108
110,0.0,AV_1,ego,55,55,1.0
111,0.0,AV_1,ego,23,23,1.0
112,12.0,AV_1,ego,20,4,0.7447029413529376
113,16.0,AV_1,ego,26,4,0.9943195412826007
114,27.0,AV_1,ego,93,11,0.7861908129163184
115,11.0,AV_1,ego,4,1,0.5675122152012371
116,22.0,AV_1,ego,13,5,0.97787715823409
117,23.0,AV_1,ego,51,17,0.9754058572528462
118,0.0,AV_1,ego,262,262,1.0
119,8.0,AV_1,ego,115,16,0.9547334456610211
120,0.0,AV_1,ego,49,49,1.0
121,4.0,AV_1,ego,67,0,1.0
122,2.0,AV_1,ego,90,13,0.9876630095312431
123,11.0,AV_1,ego,16,5,0.9884501895448387
124,0.0,AV_1,ego,44,44,1.0
125,10.0,AV_1,ego,97,38,0.9266515077424535
126,0.0,AV_1,ego,40,40,1.0
127,12.0,AV_1,ego,13,6,0.9998241541011428
128,0.0,AV_1,ego,33,33,1.0
129,17.0,AV_1,ego,44,4,0.9106893111997648
130,2.0,AV_1,ego,104,25,0.8650048446368616
131,0.0,AV_1,ego,36,36,1.0
132,26.0,AV_1,ego,57,12,0.9541413291610596
133,11.0,AV_1,ego,82,11,0.9753141727267213
134,0.0,AV_1,ego,26,26,1.0
135,7.0,AV_1,ego,97,7,0.9366049157048284
136,4.0,AV_1,ego,23,8,0.9660776381584438
137,15.0,AV_1,ego,20,6,0.985269187677885
138,15.0,AV_1,ego,37,7,0.9980712150214117
139,0.0,AV_1,ego,14,14,1.0
140,21.0,AV_1,ego,43,13,0.996420271291681
141,30.0,AV_1,ego,23,11,0.9844574191995605
142,24.0,AV_1,ego,12,8,0.9951976496083226
143,3.0,AV_1,ego,73,11,0.8460369027377539
144,25.0,AV_1,ego,27,7,0.9900867766358222
145,8.0,AV_1,ego,66,6,0.8911761532040224
146,1.0,AV_1,ego,7,0,1.0
147,0.0,AV_1,ego,50,50,1.0
148,24.0,AV_1,ego,37,12,0.9952684795906523
149,16.0,AV_1,ego,36,8,0.9243199174132262
150,1.0,AV_1,ego,34,14,0.9949054591119991
151,0.0,AV_1,ego,122,122,1.0
152,22.0,AV_1,ego,58,5,0.9384946330189103
153,19.0,AV_1,ego,75,5,0.8792916912280031
154,13.0,AV_1,ego,89,12,0.9242782301244138
155,8.0,AV_1,ego,45,9,0.9989124856440319
156,1.0,AV_1,ego,24,1,1.0
157,17.0,AV_1,ego,76,2,0.8805932997077756
158,23.0,AV_1,ego,90,3,0.991311032294198
159,11.0,AV_1,ego,110,7,0.8600957967098866
160,2.0,AV_1,ego,137,0,1.0
161,20.0,AV_1,ego,8,2,0.5392578752481905
162,21.0,AV_1,ego,94,16,0.9177261870060471
163,0.0,AV_1,ego,80,80,1.0
164,0.0,AV_1,ego,14,14,1.0
165,1.0,AV_1,ego,19,9,0.9813608206393389
166,0.0,AV_1,ego,11,11,1.0
167,0.0,AV_1,ego,82,82,1.0
168,9.0,AV_1,ego,35,4,0.8504305098174053
169,5.0,AV_1,ego,22,5,0.9860123410722944
170,5.0,AV_1,ego,22,5,0.9860123410722944
171,18.0,AV_1,ego,31,14,0.9955969618957251
172,0.0,AV_1,ego,39,39,1.0
173,2.0,AV_1,ego,188,6,0.9795173835857657
174,22.0,AV_1,ego,111,6,0.9981946996346033
175,23.0,AV_1,ego,58,6,0.9547362852252619
176,3.0,AV_1,ego,30,0,1.0
177,15.0,AV_1,ego,67,13,0.9720197825107302
178,11.0,AV_1,ego,18,5,0.9898377639320166
179,18.0,AV_1,ego,44,7,0.9926875337173655
180,12.0,AV_1,ego,35,3,0.8474937433931357
181,26.0,AV_1,ego,19,11,0.957377759641926
182,17.0,AV_1,ego,53,8,0.9176585788931522
183,17.0,AV_1,ego,53,9,0.9195856557830718
184,22.0,AV_1,ego,20,6,0.9693470701910585
185,7.0,AV_1,ego,4,1,1.0
186,13.0,AV_1,ego,43,9,0.92235440493786
187,0.0,AV_1,ego,77,77,1.0
188,12.0,AV_1,ego,55,17,0.8454907141962116
189,6.0,AV_1,ego,113,25,0.9965140112863846
190,20.0,AV_1,ego,24,6,0.996770913181615
191,0.0,AV_1,ego,49,49,1.0
192,28.0,AV_1,ego,28,14,0.9571057788740762
193,0.0,AV_1,ego,31,31,1.0
194,0.0,AV_1,ego,150,150,1.0
