index,dataset,folder,scenario_idx,track_id,ego_id,timerange,priority_label,priority_value,n_valid_timesteps,n_invalid_timesteps,IO
1,waymo_train,waymo_0-299,32111,1272;ego,ego,"range(0, 33)",equal,0.5,20,0,0.9849126807230851
2,waymo_train,waymo_0-299,3671,794;ego,ego,"range(18, 58)",794,1.0,22,0,0.5278286105098448
3,waymo_train,waymo_0-299,46973,203;ego,ego,"range(8, 56)",203,1.0,30,0,0.8301469788263423
4,waymo_train,waymo_0-299,51490,2018;ego,ego,"range(25, 77)",ego,0.0,38,0,0.6201507672788974
5,waymo_train,waymo_0-299,5567,2184;ego,ego,"range(15, 81)",ego,0.0,40,0,0.6743510830787246
6,waymo_train,waymo_0-299,79408,1998;ego,ego,"range(16, 55)",ego,0.0,34,0,0.5586665396211333
7,waymo_train,waymo_0-299,95569,2248;ego,ego,"range(27, 79)",equal,0.5,40,0,0.9084185107456589
8,waymo_train,waymo_0-299,102587,924;ego,ego,"range(13, 74)",924,1.0,31,0,0.7681876610474331
9,waymo_train,waymo_0-299,123876,2865;ego,ego,"range(28, 67)",ego,0.0,17,0,0.3344817094305736
10,waymo_train,waymo_0-299,134006,2657;ego,ego,"range(26, 90)",ego,0.0,39,0,0.6399248431863734
11,waymo_train,waymo_0-299,14720,899;ego,ego,"range(6, 63)",899,1.0,41,0,0.7483837125806837
12,waymo_train,waymo_0-299,15227,1844;ego,ego,"range(9, 75)",ego,0.0,37,0,0.6649513281457273
13,waymo_train,waymo_0-299,16714,526;ego,ego,"range(4, 71)",equal,0.5,40,0,0.9286921410029174
14,waymo_train,waymo_0-299,19079,165;ego,ego,"range(22, 70)",ego,0.0,31,0,0.8293521503210229
15,waymo_train,waymo_0-299,20296,950;ego,ego,"range(0, 29)",ego,0.0,24,0,0.5262793341145537
16,waymo_train,waymo_0-299,20708,5;ego,ego,"range(0, 53)",equal,0.5,32,0,0.887074344071548
17,waymo_train,waymo_0-299,20895,1936;ego,ego,"range(2, 55)",ego,0.0,38,0,0.6891177825993033
18,waymo_train,waymo_0-299,24389,1952;ego,ego,"range(16, 62)",ego,0.0,32,0,0.5157025848191441
19,waymo_train,waymo_0-299,25708,1887;ego,ego,"range(23, 75)",ego,0.0,38,0,0.5491956348272133
20,waymo_train,waymo_0-299,27447,68;ego,ego,"range(0, 30)",68,1.0,3,0,0.625787347462492
21,waymo_train,waymo_0-299,27765,2421;ego,ego,"range(13, 59)",ego,0.0,34,0,0.5027190270356848
22,waymo_train,waymo_0-299,29833,798;ego,ego,"range(0, 52)",ego,0.0,32,0,0.5354368710411109
23,waymo_train,waymo_0-299,30020,1117;ego,ego,"range(19, 64)",ego,0.0,31,0,0.8324284719493156
24,waymo_train,waymo_0-299,90380,861;ego,ego,"range(0, 36)",861,1.0,22,0,0.785502769900377
25,waymo_train,waymo_0-299,91392,1093;ego,ego,"range(21, 65)",1093,1.0,30,0,0.8128596170846122
26,waymo_train,waymo_0-299,91425,1483;ego,ego,"range(0, 46)",ego,0.0,38,0,0.5218493080661927
27,waymo_train,waymo_0-299,91832,4313;ego,ego,"range(3, 43)",4313,1.0,21,0,0.5232111770255243
28,waymo_train,waymo_0-299,91933,518;ego,ego,"range(36, 81)",ego,0.0,34,0,0.5603763383920997
29,waymo_train,waymo_0-299,31651,1806;ego,ego,"range(2, 59)",ego,0.0,34,0,0.5342674516828447
30,waymo_train,waymo_0-299,93102,701;ego,ego,"range(0, 45)",701,1.0,34,0,0.7304496974382494
31,waymo_train,waymo_0-299,94336,957;ego,ego,"range(0, 38)",ego,0.0,33,0,0.47538410260478625
32,waymo_train,waymo_0-299,35451,389;391;ego,ego,"range(25, 65)",389,1.0,23,0,0.9736428300633103
33,waymo_train,waymo_0-299,96603,1803;ego,ego,"range(0, 39)",1803,1.0,23,0,0.7915828973953731
34,waymo_train,waymo_0-299,97207,2371;ego,ego,"range(24, 86)",ego,0.0,39,0,0.5347570920110916
35,waymo_train,waymo_0-299,37022,20;ego,ego,"range(16, 78)",equal,0.5,41,0,0.9193597912346467
36,waymo_train,waymo_0-299,99483,1094;ego,ego,"range(29, 76)",equal,0.5,27,0,0.8754155725557388
37,waymo_train,waymo_0-299,39058,182;ego,ego,"range(4, 54)",ego,0.0,36,0,0.6012317590936669
38,waymo_train,waymo_0-299,100679,727;ego,ego,"range(14, 84)",ego,0.0,41,0,0.7324875109332276
39,waymo_train,waymo_0-299,100967,728;741;ego,ego,"range(11, 58)",741,1.0,36,0,0.6957367830830079
40,waymo_train,waymo_0-299,100967,728;ego,ego,"range(4, 63)",ego,0.0,43,0,0.6745643049562009
41,waymo_train,waymo_0-299,40040,3006;ego,ego,"range(21, 83)",3006,1.0,34,0,0.8453410299495518
42,waymo_train,waymo_0-299,102468,1818;ego,ego,"range(0, 38)",ego,0.0,30,0,0.5407553225020677
43,waymo_train,waymo_0-299,41580,2428;ego,ego,"range(0, 43)",ego,0.0,32,0,0.3263520624885833
44,waymo_train,waymo_0-299,105812,566;ego,ego,"range(0, 56)",566,1.0,41,0,0.7233237263476833
45,waymo_train,waymo_0-299,45858,2509;2512;ego,ego,"range(17, 60)",2512,1.0,31,0,0.5670656756718011
46,waymo_train,waymo_0-299,10815,1556;ego,ego,"range(0, 50)",ego,0.0,43,0,0.771442484032163
47,waymo_train,waymo_0-299,108745,118;ego,ego,"range(5, 56)",ego,0.0,36,0,0.5606225589245646
48,waymo_train,waymo_0-299,109961,344;ego,ego,"range(11, 54)",ego,0.0,35,0,0.443403453955487
49,waymo_train,waymo_0-299,49119,324;ego,ego,"range(0, 31)",ego,0.0,17,0,0.24728598649392244
50,waymo_train,waymo_0-299,112924,97;ego,ego,"range(0, 31)",ego,0.0,26,0,0.40584299732729023
51,waymo_train,waymo_0-299,114054,1150;ego,ego,"range(8, 60)",ego,0.0,39,0,0.6182888305726301
52,waymo_train,waymo_0-299,52182,1332;ego,ego,"range(21, 64)",1332,1.0,27,0,0.7285138088026435
