index,dataset,folder,scenario_idx,track_id,ego_id,timerange,threshold_s,exp_factor,n_timesteps,TTC
1,waymo_train,waymo_0-299,32111,1272;ego,ego,"range(0, 33)",3.0,0.5,33,1.0
2,waymo_train,waymo_0-299,3671,794;ego,ego,"range(18, 58)",3.0,0.5,40,1.0
3,waymo_train,waymo_0-299,46973,203;ego,ego,"range(8, 56)",3.0,0.5,48,1.0
4,waymo_train,waymo_0-299,51490,2018;ego,ego,"range(25, 77)",3.0,0.5,52,1.0
5,waymo_train,waymo_0-299,5567,2184;ego,ego,"range(15, 81)",3.0,0.5,66,1.0
6,waymo_train,waymo_0-299,79408,1998;ego,ego,"range(16, 55)",3.0,0.5,39,1.0
7,waymo_train,waymo_0-299,95569,2248;ego,ego,"range(27, 79)",3.0,0.5,52,0.9922099053346368
8,waymo_train,waymo_0-299,102587,924;ego,ego,"range(13, 74)",3.0,0.5,61,1.0
9,waymo_train,waymo_0-299,123876,2865;ego,ego,"range(28, 67)",3.0,0.5,39,0.8679232763884633
10,waymo_train,waymo_0-299,134006,2657;ego,ego,"range(26, 90)",3.0,0.5,64,1.0
11,waymo_train,waymo_0-299,14720,899;ego,ego,"range(6, 63)",3.0,0.5,57,0.9396340807544473
12,waymo_train,waymo_0-299,15227,1844;ego,ego,"range(9, 75)",3.0,0.5,66,1.0
13,waymo_train,waymo_0-299,16714,526;ego,ego,"range(4, 71)",3.0,0.5,67,1.0
14,waymo_train,waymo_0-299,19079,165;ego,ego,"range(22, 70)",3.0,0.5,48,1.0
15,waymo_train,waymo_0-299,20296,950;ego,ego,"range(0, 29)",3.0,0.5,29,1.0
16,waymo_train,waymo_0-299,20708,5;ego,ego,"range(0, 53)",3.0,0.5,53,1.0
17,waymo_train,waymo_0-299,20895,1936;ego,ego,"range(2, 55)",3.0,0.5,53,1.0
18,waymo_train,waymo_0-299,24389,1952;ego,ego,"range(16, 62)",3.0,0.5,46,1.0
19,waymo_train,waymo_0-299,25708,1887;ego,ego,"range(23, 75)",3.0,0.5,52,1.0
20,waymo_train,waymo_0-299,27447,68;ego,ego,"range(0, 30)",3.0,0.5,30,1.0
21,waymo_train,waymo_0-299,27765,2421;ego,ego,"range(13, 59)",3.0,0.5,46,1.0
22,waymo_train,waymo_0-299,29833,798;ego,ego,"range(0, 52)",3.0,0.5,52,1.0
23,waymo_train,waymo_0-299,30020,1117;ego,ego,"range(19, 64)",3.0,0.5,45,1.0
24,waymo_train,waymo_0-299,90380,861;ego,ego,"range(0, 36)",3.0,0.5,36,1.0
25,waymo_train,waymo_0-299,91392,1093;ego,ego,"range(21, 65)",3.0,0.5,44,1.0
26,waymo_train,waymo_0-299,91425,1483;ego,ego,"range(0, 46)",3.0,0.5,46,1.0
27,waymo_train,waymo_0-299,91832,4313;ego,ego,"range(3, 43)",3.0,0.5,40,1.0
28,waymo_train,waymo_0-299,91933,518;ego,ego,"range(36, 81)",3.0,0.5,45,1.0
