index,prompt_case,dataset,folder,scenario_idx,track_id,start,end,key_agents,path_relationship,turn_label,priority_label,lane_change_type,lane_change_time,lane_change_time_index,lane_change_end_time,lane_change_end_time_index,type_flag_init
1,mp2,waymo_train,waymo_0-299,146002,1077;ego,44,53,1077;ego,MP,S-S,ego,HV_front,37,3,60,26,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
2,cp1,waymo_train,waymo_0-299,32111,1272;ego,3,8,ego;1272,CP,R-R,equal,no-need,no-need,no-need,no-need,no-need,None
3,mp2,waymo_train,waymo_0-299,87909,2204;ego,0,20,2204;ego,MP,S-S,equal,HV_front,9,9,27,27,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
4,mp2,waymo_train,waymo_0-299,16210,1760;ego,11,26,1760;ego,MP,S-S,equal,HV_front,14,13,38,37,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
5,mp2,waymo_train,waymo_0-299,21121,727;ego,19,33,727;ego,MP,S-S,ego,HV_front,18,9,36,27,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
6,mp2,waymo_train,waymo_0-299,127355,0;2;ego,17,29,2;ego,MP,S-S,2,HV_front,20,13,48,41,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
7,cp1,waymo_train,waymo_0-299,136421,1449;ego,25,32,1449;ego,CP,L-S,ego,no-need,no-need,no-need,no-need,no-need,None
8,mp2,waymo_train,waymo_0-299,18386,1903;ego,17,45,1903;ego,MP,S-S,ego,HV_front,31,24,46,39,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
9,mp1,waymo_train,waymo_0-299,18490,616;ego,13,31,616;ego,MP,S-S,616,AV_back,31,28,55,52,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
10,mp2,waymo_train,waymo_0-299,20148,1661;ego,33,49,1661;ego,MP,S-S,ego,HV_front,38,15,56,33,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
11,mp2,waymo_train,waymo_0-299,30004,470;ego,24,47,470;ego,MP,S-S,ego,HV_front,31,17,51,37,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
12,mp2,waymo_train,waymo_0-299,30707,3016;ego,14,27,3016;ego,MP,S-S,ego,HV_front,8,4,43,39,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
13,mp2,waymo_train,waymo_0-299,31522,667;ego,23,39,667;ego,MP,S-S,ego,HV_front,22,9,44,31,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
14,mp2,waymo_train,waymo_0-299,31698,237;ego,23,28,237;ego,MP,S-S,ego,HV_front,13,0,35,22,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
15,mp2,waymo_train,waymo_0-299,32263,1733;ego,27,52,1733;ego,MP,S-S,ego,HV_front,33,16,51,34,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
16,mp1,waymo_train,waymo_0-299,32743,616;ego,23,41,616;ego,MP,S-S,616,AV_back,41,28,65,52,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
17,mp1,waymo_train,waymo_0-299,33256,1469;ego,40,61,1469;ego,MP,S-S,equal,AV_back,59,29,76,46,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
18,mp2,waymo_train,waymo_0-299,3480,1792;ego,0,23,1792;ego,MP,S-S,ego,HV_front,12,12,27,27,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
19,mp2,waymo_train,waymo_0-299,34801,1857;ego,0,24,1857;ego,MP,S-S,ego,HV_front,9,9,26,26,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
20,cp1,waymo_train,waymo_0-299,3671,794;ego,28,33,ego;794,CP,S-L,794,no-need,no-need,no-need,no-need,no-need,None
21,mp2,waymo_train,waymo_0-299,37265,992;ego,0,15,992;ego,MP,S-S,ego,HV_front,0,0,22,22,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
22,mp2,waymo_train,waymo_0-299,37272,1531;ego,1,17,1531;ego,MP,S-S,ego,HV_front,16,16,34,34,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
23,mp2,waymo_train,waymo_0-299,37597,415;ego,0,13,415;ego,MP,S-S,ego,HV_front,2,2,16,16,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
24,mp2,waymo_train,waymo_0-299,37911,842;ego,7,32,842;ego,MP,S-S,ego,HV_front,20,20,37,37,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
