index,data_source,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact,score
1,waymo_raw data,1,0.049936654,1,1,0.880952381,1,0.472365868,0.508594954,0.928719032,0.996517349,0.333333333
2,waymo_raw data,1,0.731249913,1,0.975,0.702702703,1,0.821679929,0.912887609,0.123735731,1,0.633333333
3,waymo_raw data,1,0.052707369,0.979166667,1,0.891891892,1,0.353367651,0.437559511,0.375368114,0.928105186,0.266666667
4,waymo_raw data,1,1,1,1,0.474576271,1,0.745101082,0.113983719,0.542288151,0.979062894,0.9
5,waymo_raw data,1,1,1,0.984848485,0.306122449,1,0.73977623,0.82522117,0.630674334,0.965810173,0.883333333
6,waymo_raw data,1,1,1,1,0.477272727,1,0.665904377,0.758518441,0.501141422,1,0.966666667
7,waymo_raw data,1,1,1,0.846153846,0.679245283,1,0.619089726,0.681801774,0.987758288,0.977211171,0.766666667
8,waymo_raw data,1,0.067609958,0.901639344,1,0.555555556,1,0.351756753,0.381213706,0.220465953,0.884222122,0.233333333
9,waymo_raw data,0.162842567,0.085349559,1,0.794871795,0.5,1,0.346274963,0.397621097,0.722532164,1,0.6
10,waymo_raw data,1,1,1,1,0.642857143,1,0.651435914,0.722367644,0.512424736,0.990174132,0.883333333
11,waymo_raw data,1,1,1,0.666666667,0.666666667,1,0.622388111,0.664702414,0.952204752,0.990551311,0.633333333
12,waymo_raw data,1,1,0.96969697,0.848484848,0.558823529,1,0.663566028,0.753607651,0.670770005,0.964143471,0.833333333
13,waymo_raw data,1,1,1,1,0.862745098,1,0.820633442,0.866126848,0.798774909,0.966646866,0.966666667
14,waymo_raw data,1,0.053772129,1,1,0.587301587,1,0.145670329,0.472318641,0.406496523,1,0.266666667
15,waymo_raw data,1,1,1,1,0.6,1,0.658115629,0.708395321,0.599983809,1,0.933333333
16,waymo_raw data,1,1,0.962264151,0.905660377,0.87804878,1,0.685150812,0.752139529,0.820529905,0.945650837,0.933333333
17,waymo_raw data,1,1,1,1,0.588235294,1,0.721278197,0.787553325,0.593439985,0.993443005,0.966666667
18,waymo_raw data,1,1,0.913043478,1,0.315789474,1,0.680227524,0.735886147,0.369908067,1,0.733333333
19,waymo_raw data,1,1,1,1,0.461538462,1,0.407726557,0.568275224,0.54080752,0.946470313,0.733333333
20,waymo_raw data,1,1,0.933333333,0.933333333,0.618181818,1,0.419793337,0.442220765,0.177650363,1,0.766666667
21,waymo_raw data,1,1,1,1,0.473684211,1,0.61291009,0.644104448,0.564924001,0.981190527,0.966666667
22,waymo_raw data,1,1,1,1,0.377777778,1,0.670581508,0.775631976,0.561719679,0.931434557,1
