index,dataset,folder,scenario_idx,track_id,start_time,start,end,ego_type,key_agents,path_relationship
1,waymo_train,waymo_0-299,32111,1272;ego,4,3,8,AV_1,ego;1272,CP
2,waymo_train,waymo_0-299,3671,794;ego,0,28,33,AV_1,ego;794,CP
3,waymo_train,waymo_0-299,46973,203;ego,5,18,31,AV_1,ego;203,CP
4,waymo_train,waymo_0-299,51490,2018;ego,17,35,52,AV_1,2018;ego,MP
5,waymo_train,waymo_0-299,5567,2184;ego,26,25,56,AV_1,2184;ego,MP
6,waymo_train,waymo_0-299,79408,1998;ego,0,26,30,AV_1,1998;ego,MP
7,waymo_train,waymo_0-299,95569,2248;ego,16,37,54,AV_1,2248;ego,MP
8,waymo_train,waymo_0-299,102587,924;ego,13,23,49,AV_1,ego;924,CP
9,waymo_train,waymo_0-299,123876,2865;ego,0,38,42,AV_1,2865;ego,CP
10,waymo_train,waymo_0-299,134006,2657;ego,30,36,66,AV_1,2657;ego,MP
11,waymo_train,waymo_0-299,14720,899;ego,32,16,38,AV_1,899;ego,MP
12,waymo_train,waymo_0-299,15227,1844;ego,26,19,50,AV_1,1844;ego,MP
13,waymo_train,waymo_0-299,16714,526;ego,29,14,46,AV_1,526;ego,MP
14,waymo_train,waymo_0-299,19079,165;ego,2,32,45,AV_1,165;ego,CP
15,waymo_train,waymo_0-299,20296,950;ego,0,0,4,AV_1,950;ego,MP
16,waymo_train,waymo_0-299,20708,5;ego,27,3,28,AV_1,5;ego,MP
17,waymo_train,waymo_0-299,20895,1936;ego,17,12,30,AV_1,1936;ego,MP
18,waymo_train,waymo_0-299,24389,1952;ego,0,26,37,AV_1,1952;ego,MP
19,waymo_train,waymo_0-299,25708,1887;ego,15,33,50,AV_1,1887;ego,MP
20,waymo_train,waymo_0-299,27447,68;ego,0,0,5,AV_1,ego;68,CP
21,waymo_train,waymo_0-299,27765,2421;ego,13,23,34,AV_1,2421;ego,MP
22,waymo_train,waymo_0-299,29833,798;ego,16,5,27,AV_1,798;ego,MP
23,waymo_train,waymo_0-299,30020,1117;ego,10,29,39,AV_1,1117;ego,CP
24,waymo_train,waymo_0-299,90380,861;ego,7,0,11,AV_1,861;ego,MP
25,waymo_train,waymo_0-299,91392,1093;ego,9,31,40,AV_1,ego;1093,CP
26,waymo_train,waymo_0-299,91425,1483;ego,0,6,21,AV_1,1483;ego,MP
27,waymo_train,waymo_0-299,91832,4313;ego,8,13,18,AV_1,ego;4313,CP
28,waymo_train,waymo_0-299,91933,518;ego,8,46,56,AV_1,518;ego,MP
29,waymo_train,waymo_0-299,31651,1806;ego,13,12,34,AV_1,1806;ego,MP
30,waymo_train,waymo_0-299,93102,701;ego,14,0,20,AV_1,701;ego,MP
31,waymo_train,waymo_0-299,94336,957;ego,0,1,13,AV_1,957;ego,MP
32,waymo_train,waymo_0-299,35451,389;391;ego,11,35,40,AV_1,391;ego,CP
33,waymo_train,waymo_0-299,96603,1803;ego,12,0,14,AV_1,1803;ego,MP
34,waymo_train,waymo_0-299,97207,2371;ego,28,34,61,AV_1,2371;ego,MP
