index,dataset,folder,scenario_idx,track_id,start_time,start,end,ego_type,key_agents,path_relationship
1,waymo_train,waymo_0-299,146002,1077;ego,3,44,53,AV_1,1077;ego,MP
2,waymo_train,waymo_0-299,32111,1272;ego,4,3,8,AV_1,ego;1272,CP
3,waymo_train,waymo_0-299,87909,2204;ego,9,0,20,AV_1,2204;ego,MP
4,waymo_train,waymo_0-299,16210,1760;ego,13,11,26,AV_1,1760;ego,MP
5,waymo_train,waymo_0-299,21121,727;ego,9,19,33,AV_1,727;ego,MP
6,waymo_train,waymo_0-299,127355,0;2;ego,13,17,29,AV_1,2;ego,MP
7,waymo_train,waymo_0-299,136421,1449;ego,8,25,32,AV_1,1449;ego,CP
8,waymo_train,waymo_0-299,18386,1903;ego,24,17,45,AV_1,1903;ego,MP
9,waymo_train,waymo_0-299,18490,616;ego,28,13,31,AV_1,616;ego,MP
10,waymo_train,waymo_0-299,20148,1661;ego,15,33,49,AV_1,1661;ego,MP
11,waymo_train,waymo_0-299,30004,470;ego,17,24,47,AV_1,470;ego,MP
12,waymo_train,waymo_0-299,30707,3016;ego,4,14,27,AV_1,3016;ego,MP
13,waymo_train,waymo_0-299,31522,667;ego,9,23,39,AV_1,667;ego,MP
14,waymo_train,waymo_0-299,31698,237;ego,0,23,28,AV_1,237;ego,MP
15,waymo_train,waymo_0-299,32263,1733;ego,16,27,52,AV_1,1733;ego,MP
16,waymo_train,waymo_0-299,32743,616;ego,28,23,41,AV_1,616;ego,MP
17,waymo_train,waymo_0-299,33256,1469;ego,29,40,61,AV_1,1469;ego,MP
18,waymo_train,waymo_0-299,3480,1792;ego,12,0,23,AV_1,1792;ego,MP
19,waymo_train,waymo_0-299,34801,1857;ego,9,0,24,AV_1,1857;ego,MP
20,waymo_train,waymo_0-299,3671,794;ego,0,28,33,AV_1,ego;794,CP
21,waymo_train,waymo_0-299,37265,992;ego,0,0,15,AV_1,992;ego,MP
22,waymo_train,waymo_0-299,37272,1531;ego,16,1,17,AV_1,1531;ego,MP
23,waymo_train,waymo_0-299,37597,415;ego,2,0,13,AV_1,415;ego,MP
24,waymo_train,waymo_0-299,37911,842;ego,20,7,32,AV_1,842;ego,MP
25,waymo_train,waymo_0-299,3863,1053;ego,13,26,53,AV_1,1053;ego,MP
26,waymo_train,waymo_0-299,40910,2224;ego,17,40,64,AV_1,2224;ego,MP
27,waymo_train,waymo_0-299,41367,430;ego,21,25,53,AV_1,430;ego,MP
28,waymo_train,waymo_0-299,42896,492;ego,5,0,12,AV_1,492;ego,MP
29,waymo_train,waymo_0-299,46973,203;ego,5,18,31,AV_1,ego;203,CP
30,waymo_train,waymo_0-299,47760,870;ego,2,41,45,AV_1,870;ego,MP
31,waymo_train,waymo_0-299,70178,620;621;ego,0,2,9,AV_1,621;ego,MP
32,waymo_train,waymo_0-299,51490,2018;ego,17,35,52,AV_1,2018;ego,MP
33,waymo_train,waymo_0-299,52759,1262;ego,18,36,62,AV_1,1262;ego,MP
34,waymo_train,waymo_0-299,54214,1081;ego,3,1,15,AV_1,1081;ego,MP
35,waymo_train,waymo_0-299,53797,1964;ego,5,26,35,AV_1,1964;ego,MP
